# We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based.
# All Submitters of data may be contacted directly via www.gisaid.org
Accession ID	Virus Name	Location	Collection Date	Originating Laboratory	Submitting Laboratory	Authors
EPI_ISL_402124	Wuhan/WIV04/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou et al
EPI_ISL_455375	Wuhan/HB-WH2-165/2020	Asia / China / Hubei / Wuhan	2020-02-11	Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
EPI_ISL_416373	Shanghai/SH0070/2020	Asia / China / Shanghai / 	2020-02-07	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
EPI_ISL_539507	Spain/AR-ISCIII-201672/2020	Europe / Spain / Aragon / 	2020-03-07	Hospital Universitario Miguel Servet	Instituto de Salud Carlos III	Iglesias-Caballero et al
EPI_ISL_488228	England/BRIS-12F6DB/2020	Europe / United Kingdom / England / 	2020-03-08	PHE South West Regional Laboratory, National Infection Service	Wellcome Sanger Institute for the COVID-19 Genomics UK Consortium	Stephanie Hutchings et al
EPI_ISL_493175	Wuhan/0126-C43/2020	Asia / China / Hubei / Wuhan	2020-01-26	National Virus Resource Center, Chinese Academy of Sciences, Wuhan 430071, China	Computational Virology Group, Center for Bacteria and Viruses Resources and Bioinformation, Wuhan Institute of Virology, Chinese Academy of Sciences，Wuhan 430071, China	Jianjun Chen et al
EPI_ISL_454974	Wuhan/HB-WH5-231/2020	Asia / China / Hubei / Wuhan	2020-02-17	Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
EPI_ISL_451392	Sichuan/SC-WCH4-290/2020	Asia / China / Sichuan / 	2020-01-24	West China Hospital of Sichuan University	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
EPI_ISL_497951	SouthKorea/KCDC2030/2020	Asia / South Korea / South Korea / 	2020-02-20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
EPI_ISL_461146	Netherlands/NoordBrabant_110/2020	Europe / Netherlands / North Brabant / 	2020-03-04	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
EPI_ISL_414522	England/200990002/2020	Europe / United Kingdom / England / 	2020-02-28	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
EPI_ISL_413457	USA/WA6-UW3/2020	North America / USA / Washington / 	2020-02-29	Washington State Public Health Lab	UW Virology Lab	Pavitra Roychoudhury et al
EPI_ISL_454988	Wuhan/HB-WHCM-102/2020	Asia / China / Hubei / Wuhan	2020-03-02	Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
EPI_ISL_435601	USA/CA-SCCPHD-UC122/2020	North America / USA / California / Santa Clara County	2020-03-05	Santa Clara County Public Health Department	Chiu Laboratory, University of California, San Francisco	Xianding Deng et al
EPI_ISL_481378	SouthKorea/KCDC2058/2020	Asia / South Korea / South Korea / 	2020-02-22	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
EPI_ISL_479827	Japan/PG-0072/2020	Asia / Japan / Hokkaido / 	2020-02-27	Sapporo City Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
EPI_ISL_416591	Japan/DP0290/2020	Asia / Japan / Japan / 	2020-02-16	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
EPI_ISL_455603	Australia/VPRL014/2020	Oceania / Australia / South Australia / 	2020-01-30	SA Pathology	VPRL	Beard et al
EPI_ISL_421242	Ganzhou/JX81/2020	Asia / China / Jiangxi / Ganzhou	2020-01-25	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
EPI_ISL_417264	England/20109050306/2020	Europe / United Kingdom / England / 	2020-03-04	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
EPI_ISL_488262	England/BRIS-12F6CC/2020	Europe / United Kingdom / England / 	2020-03-06	PHE South West Regional Laboratory, National Infection Service	Wellcome Sanger Institute for the COVID-19 Genomics UK Consortium	Stephanie Hutchings et al
EPI_ISL_537811	Spain/RI-IBV-98002288/2020	Europe / Spain / La Rioja / Albelda de Iregua	2020-03-03	Centro de Investigación Biomédica de La Rioja - Hospital San Pedro Logroño	SeqCOVID-SPAIN consortium/IBV(CSIC)	María de Toro et al
EPI_ISL_417119	USA/WA-S66/2020	North America / USA / Washington / Snohomish County	2020-03-06	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
EPI_ISL_424893	USA/VA_6382/2020	North America / USA / Virginia / 	2020-03-08	VA-Division of Consolidated Laboratory Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Yan Li et al
EPI_ISL_539337	Hunan/HN-CIDC-P8/2020	Asia / China / Hunan / Shaoyang	2020-01-26	Institute of Disease Control and Prevention, People's Liberation Army	Institute of Disease Control and Prevention, People's Liberation Army	Qiu et al
EPI_ISL_417117	USA/WA-S64/2020	North America / USA / Washington / King County	2020-03-03	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
EPI_ISL_421182	Belgium/ULG-10001/2020	Europe / Belgium / Liège / 	2020-03-05	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
EPI_ISL_529215	Wuhan/IME-WH03/2020	Asia / China / Hubei / Wuhan	2019-12-30	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
EPI_ISL_416370	Shanghai/SH0067/2020	Asia / China / Shanghai / 	2020-02-01	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
EPI_ISL_416381	Shanghai/SH0079/2020	Asia / China / Shanghai / 	2020-02-01	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
EPI_ISL_493156	Wuhan/0125-A163/2020	Asia / China / Hubei / Wuhan	2020-01-25	National Virus Resource Center, Chinese Academy of Sciences, Wuhan 430071, China	Computational Virology Group, Center for Bacteria and Viruses Resources and Bioinformation, Wuhan Institute of Virology, Chinese Academy of Sciences，Wuhan 430071, China	Jianjun Chen et al
EPI_ISL_455386	Wuhan/HB-WH4-198/2020	Asia / China / Hubei / Wuhan	2020-02-12	Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
EPI_ISL_467161	Spain/PV-IBV-001608/2020	Europe / Spain / Basque Country / Vitoria-Gasteiz	2020-03-01	Hospital Universitario Araba. Vitoria-Gasteiz	SeqCOVID-SPAIN consortium/IBV(CSIC)	Silvia Hernáez Crespo et al
